"Xq","cluster","size","FE","WE","type","shrink"
2,8,0.0159488798216928,10.8316466556518,-0.297217382577393,"theta",0.5
2,9,0.00681816664540844,10.8963727854715,-0.294330111820022,"theta",0.5
2,10,0.00222364179379627,10.9348133936911,-0.294664163545988,"theta",0.5
3,1,0.00357547375577459,10.3698222712173,-0.0419374656659332,"theta",0.5
3,2,0.0132389649743309,10.5013876648149,-0.0397503468450526,"theta",0.5
3,3,0.0253506838223401,10.6177285131055,-0.0391667215699015,"theta",0.5
3,4,0.034009482259892,10.6806641562294,-0.0372331741135477,"theta",0.5
3,5,0.0191821116220139,10.733801622196,-0.0380244912796677,"theta",0.5
3,6,0.0298654387219061,10.742337426104,-0.0343135709513485,"theta",0.5
3,7,0.033583160148248,10.8010969243969,-0.0336121268011302,"theta",0.5
3,8,0.0242065831798656,10.8300705472091,-0.032902503353416,"theta",0.5
3,9,0.012997455962146,10.8941546620356,-0.0307831119882162,"theta",0.5
3,10,0.00399065795382222,10.9327770746617,-0.0297454317269322,"theta",0.5
4,1,0.00306685755870752,10.3683358281327,0.234000860483133,"theta",0.5
4,2,0.0119055568971968,10.5006293132424,0.233846742565551,"theta",0.5
4,3,0.0189158999450077,10.6172163024528,0.233665155618494,"theta",0.5
4,4,0.0261971670099526,10.6803251992941,0.233112104833812,"theta",0.5
4,5,0.0153108030468724,10.7323093948941,0.24006877103732,"theta",0.5
4,6,0.0262246398273425,10.7417727376108,0.233078456960188,"theta",0.5
4,7,0.0346673271754266,10.79971532413,0.236722455783266,"theta",0.5
4,8,0.0312498145837314,10.8278992710609,0.240011566352347,"theta",0.5
4,9,0.0246660268694296,10.8913731408137,0.243180970029077,"theta",0.5
4,10,0.00779590620059425,10.9290296464966,0.2463381088391,"theta",0.5
5,1,0.00990628602691915,10.3658956963175,0.842212401271778,"theta",0.5
5,2,0.0263529288106919,10.4990187502789,0.825892587397327,"theta",0.5
5,3,0.0237383634590021,10.6165019429597,0.816428100684621,"theta",0.5
5,4,0.0246890992667766,10.6800773820933,0.797623487727401,"theta",0.5
5,5,0.0155843238260135,10.7317766051326,0.836754537847065,"theta",0.5
5,6,0.0191316186327618,10.7420800115549,0.784347240510047,"theta",0.5
5,7,0.024352537555632,10.7998063114953,0.794656674851413,"theta",0.5
5,8,0.0246083767642597,10.8269182352544,0.806978683311267,"theta",0.5
5,9,0.0212376568274591,10.8896329480961,0.793971249513203,"theta",0.5
5,10,0.0103988168021309,10.9255963539009,0.846586483310551,"theta",0.5
1,1,0.0511556156115375,10.3735807592767,-0.723806036440612,"G",0.5
